"country","poll","unit","location_name","source","year","value"
"IT","no2","µg/m3","Milan","eea",2020,34.8645379695258
"FR","no2","µg/m3","Paris","eea",2020,23.2789720657545
"HR","no2","µg/m3","Zagreb","eea",2020,23.0449970441929
"HU","no2","µg/m3","Budapest","eea",2020,22.7291017283859
"BG","no2","µg/m3","Sofia","eea",2020,21.0103575324091
"PT","no2","µg/m3","Lisbon","eea",2020,20.5224566202092
"PL","no2","µg/m3","Warsaw","eea",2020,20.4492898835808
"CY","no2","µg/m3","Nicosia","eea",2020,20.411517230136
"ES","no2","µg/m3","Madrid","eea",2020,19.7659012149562
"AT","no2","µg/m3","Vienna","eea",2020,19.696822961847
"DE","no2","µg/m3","Munich","eea",2020,19.4670856469735
"DE","no2","µg/m3","Hamburg","eea",2020,19.1653882541425
"SI","no2","µg/m3","Ljubljana","eea",2020,19.1333048749971
"NL","no2","µg/m3","The Hague","eea",2020,19.0842787314895
"CZ","no2","µg/m3","Prague","eea",2020,18.9010363721517
"ES","no2","µg/m3","Barcelona","eea",2020,18.7854340032152
"GR","no2","µg/m3","Athens","eea",2020,18.1806420698099
"BE","no2","µg/m3","Brussels","eea",2020,17.9570001490492
"LV","no2","µg/m3","Riga","eea",2020,17.6068025464888
"DE","no2","µg/m3","Berlin","eea",2020,14.5921696227402
"LT","no2","µg/m3","Vilnius","eea",2020,13.3577898951009
"IE","no2","µg/m3","Dublin","eea",2020,12.9915626934656
"SK","no2","µg/m3","Bratislava","eea",2020,12.3222698299985
"DK","no2","µg/m3","Copenhagen","eea",2020,9.48037438722026
"SE","no2","µg/m3","Stockholm","eea",2020,7.94843489046379
"FI","no2","µg/m3","Helsinki","eea",2020,7.21237076102676
"EE","no2","µg/m3","Tallinn","eea",2020,6.79842090412582
