"country","source","poll","unit","year","location_name","relative_pct","relative"
"GB","aurn","no2","µg/m3",2020,"Edinburgh","-47%",-0.472882469546774
"GB","aurn","no2","µg/m3",2020,"Oxford","-34%",-0.343823649887913
"GB","aurn","no2","µg/m3",2020,"Glasgow","-33%",-0.332847282524443
"GB","aurn","no2","µg/m3",2020,"Exeter","-32%",-0.324318427597357
"GB","aurn","no2","µg/m3",2020,"Stoke on Trent","-32%",-0.323322794412368
"GB","aurn","no2","µg/m3",2020,"Middlesbrough","-31%",-0.306380078737117
"GB","aurn","no2","µg/m3",2020,"Brighton and Hove","-30%",-0.3006283919814
"GB","aurn","no2","µg/m3",2020,"Aberdeen","-30%",-0.298419000154389
"GB","aurn","no2","µg/m3",2020,"Nottingham","-29%",-0.29450608965394
"GB","aurn","no2","µg/m3",2020,"Swindon","-29%",-0.288086020814744
"GB","aurn","no2","µg/m3",2020,"Telford and Wrekin","-29%",-0.285731825353518
"GB","aurn","no2","µg/m3",2020,"Manchester","-28%",-0.275156072175592
"GB","aurn","no2","µg/m3",2020,"Leeds","-27%",-0.270604958434021
"GB","aurn","no2","µg/m3",2020,"Newcastle upon Tyne","-27%",-0.269943206870197
"GB","aurn","no2","µg/m3",2020,"London","-26%",-0.262778989815743
"GB","aurn","no2","µg/m3",2020,"Swansea","-26%",-0.26249424307578
"GB","aurn","no2","µg/m3",2020,"Coventry","-26%",-0.259488334369173
"GB","aurn","no2","µg/m3",2020,"Derby","-25%",-0.24722703815234
"GB","aurn","no2","µg/m3",2020,"Newport","-25%",-0.245037588726842
"GB","aurn","no2","µg/m3",2020,"Dundee","-24%",-0.2401568816256
"GB","aurn","no2","µg/m3",2020,"Blackpool","-24%",-0.239621512486078
"GB","aurn","no2","µg/m3",2020,"Leicester","-24%",-0.237015348295824
"GB","aurn","no2","µg/m3",2020,"Doncaster","-23%",-0.231045342567787
"GB","aurn","no2","µg/m3",2020,"Plymouth","-23%",-0.22575975184809
"GB","aurn","no2","µg/m3",2020,"Norwich","-22%",-0.224998263188361
"GB","aurn","no2","µg/m3",2020,"Luton","-22%",-0.224612472420069
"GB","aurn","no2","µg/m3",2020,"Birmingham","-22%",-0.220495118715067
"GB","aurn","no2","µg/m3",2020,"Wigan","-22%",-0.216339881004803
"GB","aurn","no2","µg/m3",2020,"Southend-on-Sea","-21%",-0.209310204283403
"GB","aurn","no2","µg/m3",2020,"Preston","-21%",-0.207891377754531
"GB","aurn","no2","µg/m3",2020,"Worthing","-20%",-0.203838310077729
"GB","aurn","no2","µg/m3",2020,"Kingston upon Hull","-20%",-0.202552749917884
"GB","aurn","no2","µg/m3",2020,"Sheffield","-20%",-0.19743218887201
"GB","aurn","no2","µg/m3",2020,"Bournemouth","-19%",-0.190695838593499
"GB","aurn","no2","µg/m3",2020,"Bradford","-16%",-0.163951341064995
"GB","aurn","no2","µg/m3",2020,"Southampton","-16%",-0.155393570818477
